Sort,Subject,URI
1,Roger Wareham,http://base.semlab.io/entity/Q19016
2,Sister Thulani,http://base.semlab.io/entity/Q19023
3,Willard Jenkins,http://base.semlab.io/entity/Q19038
4,Viola Plummer,http://base.semlab.io/entity/Q19032
5,The East,http://base.semlab.io/entity/Q18885
6,Gary Bartz,http://base.semlab.io/entity/Q18949
7,The Blue Coronet,http://base.semlab.io/entity/Q18834
8,Thelonious Monk,http://base.semlab.io/entity/Q71
9,Baby Grand Brooklyn,http://base.semlab.io/entity/Q18830
10,Baby Grand Harlem,http://base.semlab.io/entity/Q18831
11,Slug's,http://base.semlab.io/entity/Q18878
12,Wynton Marsalis,http://base.semlab.io/entity/Q34
13,Curtis Mayfield,http://base.semlab.io/entity/Q18934
14,John Coltrane,http://base.semlab.io/entity/Q33
15,Miles Davis,http://base.semlab.io/entity/Q41
16,Sista's Place,http://base.semlab.io/entity/Q18876
17,Cecil's,http://base.semlab.io/entity/Q18843
18,Police brutality,http://id.loc.gov/authorities/subjects/sh95010616
19,"Queens (New York, N.Y.)",http://id.loc.gov/authorities/names/n81047346
20,Teachers,http://id.loc.gov/authorities/subjects/sh85132964
21,Activism,
22,Brooklyn,http://base.semlab.io/entity/Q18808
23,"Bedford-Stuyvesant (New York, N.Y.)",http://id.loc.gov/authorities/names/n91082771
24,Jazz,http://id.loc.gov/authorities/subjects/sh85069833
25,Jazz musicians,http://id.loc.gov/authorities/subjects/sh85069835
26,African American jazz musicians,http://id.loc.gov/authorities/subjects/sh2001006683
27,Ron Washington, person, http://base.semlab.io/entity/Q19019
